event_id,change_context
tq-001,no_known_change
tq-002,no_known_change
tq-003,no_known_change
tq-004,unknown
tq-005,no_known_change
tq-006,unknown
tq-007,no_known_change
tq-008,no_known_change
tq-009,planned_operational_change
tq-010,no_known_change
tq-011,planned_operational_change
tq-012,no_known_change
tq-013,no_known_change
tq-014,no_known_change
tq-015,no_known_change
tq-016,no_known_change
tq-017,data_availability_issue
tq-018,data_availability_issue
tq-019,measurement_context_changed
tq-020,measurement_context_changed
tq-021,no_known_change
tq-022,no_known_change
tq-023,no_known_change
tq-024,no_known_change
