event_id,timestamp,source,topic,metric,value
tq-001,2026-09-20T00:00:00Z,source-a,shopping,click_count,1008
tq-001,2026-09-20T00:00:00Z,source-a,shopping,conversion_count,33
tq-001,2026-09-20T00:00:00Z,source-b,shopping,click_count,811
tq-001,2026-09-20T00:00:00Z,source-b,shopping,conversion_count,24
tq-001,2026-09-20T00:00:00Z,source-c,shopping,click_count,596
tq-001,2026-09-20T00:00:00Z,source-c,shopping,conversion_count,19
tq-001,2026-09-20T01:00:00Z,source-a,shopping,click_count,965
tq-001,2026-09-20T01:00:00Z,source-a,shopping,conversion_count,27
tq-001,2026-09-20T01:00:00Z,source-b,shopping,click_count,774
tq-001,2026-09-20T01:00:00Z,source-b,shopping,conversion_count,22
tq-001,2026-09-20T01:00:00Z,source-c,shopping,click_count,601
tq-001,2026-09-20T01:00:00Z,source-c,shopping,conversion_count,19
tq-001,2026-09-20T02:00:00Z,source-a,shopping,click_count,977
tq-001,2026-09-20T02:00:00Z,source-a,shopping,conversion_count,29
tq-001,2026-09-20T02:00:00Z,source-b,shopping,click_count,788
tq-001,2026-09-20T02:00:00Z,source-b,shopping,conversion_count,24
tq-001,2026-09-20T02:00:00Z,source-c,shopping,click_count,590
tq-001,2026-09-20T02:00:00Z,source-c,shopping,conversion_count,17
tq-001,2026-09-20T03:00:00Z,source-a,shopping,click_count,1014
tq-001,2026-09-20T03:00:00Z,source-a,shopping,conversion_count,29
tq-001,2026-09-20T03:00:00Z,source-b,shopping,click_count,781
tq-001,2026-09-20T03:00:00Z,source-b,shopping,conversion_count,23
tq-001,2026-09-20T03:00:00Z,source-c,shopping,click_count,603
tq-001,2026-09-20T03:00:00Z,source-c,shopping,conversion_count,19
tq-001,2026-09-20T04:00:00Z,source-a,shopping,click_count,983
tq-001,2026-09-20T04:00:00Z,source-a,shopping,conversion_count,28
tq-001,2026-09-20T04:00:00Z,source-b,shopping,click_count,816
tq-001,2026-09-20T04:00:00Z,source-b,shopping,conversion_count,23
tq-001,2026-09-20T04:00:00Z,source-c,shopping,click_count,618
tq-001,2026-09-20T04:00:00Z,source-c,shopping,conversion_count,19
tq-001,2026-09-20T05:00:00Z,source-a,shopping,click_count,1002
tq-001,2026-09-20T05:00:00Z,source-a,shopping,conversion_count,27
tq-001,2026-09-20T05:00:00Z,source-b,shopping,click_count,778
tq-001,2026-09-20T05:00:00Z,source-b,shopping,conversion_count,24
tq-001,2026-09-20T05:00:00Z,source-c,shopping,click_count,623
tq-001,2026-09-20T05:00:00Z,source-c,shopping,conversion_count,17
tq-001,2026-09-20T06:00:00Z,source-a,shopping,click_count,1008
tq-001,2026-09-20T06:00:00Z,source-a,shopping,conversion_count,28
tq-001,2026-09-20T06:00:00Z,source-b,shopping,click_count,812
tq-001,2026-09-20T06:00:00Z,source-b,shopping,conversion_count,23
tq-001,2026-09-20T06:00:00Z,source-c,shopping,click_count,584
tq-001,2026-09-20T06:00:00Z,source-c,shopping,conversion_count,18
tq-001,2026-09-20T07:00:00Z,source-a,shopping,click_count,1004
tq-001,2026-09-20T07:00:00Z,source-a,shopping,conversion_count,29
tq-001,2026-09-20T07:00:00Z,source-b,shopping,click_count,795
tq-001,2026-09-20T07:00:00Z,source-b,shopping,conversion_count,24
tq-001,2026-09-20T07:00:00Z,source-c,shopping,click_count,588
tq-001,2026-09-20T07:00:00Z,source-c,shopping,conversion_count,17
tq-001,2026-09-20T08:00:00Z,source-a,shopping,click_count,1023
tq-001,2026-09-20T08:00:00Z,source-a,shopping,conversion_count,30
tq-001,2026-09-20T08:00:00Z,source-b,shopping,click_count,824
tq-001,2026-09-20T08:00:00Z,source-b,shopping,conversion_count,24
tq-001,2026-09-20T08:00:00Z,source-c,shopping,click_count,619
tq-001,2026-09-20T08:00:00Z,source-c,shopping,conversion_count,17
tq-001,2026-09-20T09:00:00Z,source-a,shopping,click_count,1038
tq-001,2026-09-20T09:00:00Z,source-a,shopping,conversion_count,28
