event_id,timestamp,source,topic,metric,value
tq-large,2026-09-20T00:00:00Z,source-a,shopping,click_count,1000
tq-large,2026-09-20T00:01:00Z,source-a,shopping,click_count,1001
tq-large,2026-09-20T00:02:00Z,source-a,shopping,click_count,1002
tq-large,2026-09-20T00:03:00Z,source-a,shopping,click_count,1003
tq-large,2026-09-20T00:04:00Z,source-a,shopping,click_count,1004
tq-large,2026-09-20T00:05:00Z,source-a,shopping,click_count,1005
tq-large,2026-09-20T00:06:00Z,source-a,shopping,click_count,1006
tq-large,2026-09-20T00:07:00Z,source-a,shopping,click_count,1007
tq-large,2026-09-20T00:08:00Z,source-a,shopping,click_count,1008
tq-large,2026-09-20T00:09:00Z,source-a,shopping,click_count,1009
tq-large,2026-09-20T00:10:00Z,source-a,shopping,click_count,1010
tq-large,2026-09-20T00:11:00Z,source-a,shopping,click_count,1011
tq-large,2026-09-20T00:12:00Z,source-a,shopping,click_count,1012
tq-large,2026-09-20T00:13:00Z,source-a,shopping,click_count,1013
tq-large,2026-09-20T00:14:00Z,source-a,shopping,click_count,1014
tq-large,2026-09-20T00:15:00Z,source-a,shopping,click_count,1015
tq-large,2026-09-20T00:16:00Z,source-a,shopping,click_count,1016
tq-large,2026-09-20T00:17:00Z,source-a,shopping,click_count,1017
tq-large,2026-09-20T00:18:00Z,source-a,shopping,click_count,1018
tq-large,2026-09-20T00:19:00Z,source-a,shopping,click_count,1019
tq-large,2026-09-20T00:20:00Z,source-a,shopping,click_count,1020
tq-large,2026-09-20T00:21:00Z,source-a,shopping,click_count,1021
tq-large,2026-09-20T00:22:00Z,source-a,shopping,click_count,1022
tq-large,2026-09-20T00:23:00Z,source-a,shopping,click_count,1023
tq-large,2026-09-20T00:24:00Z,source-a,shopping,click_count,1024
tq-large,2026-09-20T00:25:00Z,source-a,shopping,click_count,1025
tq-large,2026-09-20T00:26:00Z,source-a,shopping,click_count,1026
tq-large,2026-09-20T00:27:00Z,source-a,shopping,click_count,1027
tq-large,2026-09-20T00:28:00Z,source-a,shopping,click_count,1028
tq-large,2026-09-20T00:29:00Z,source-a,shopping,click_count,1029
tq-large,2026-09-20T00:30:00Z,source-a,shopping,click_count,1030
tq-large,2026-09-20T00:31:00Z,source-a,shopping,click_count,1031
tq-large,2026-09-20T00:32:00Z,source-a,shopping,click_count,1032
tq-large,2026-09-20T00:33:00Z,source-a,shopping,click_count,1033
tq-large,2026-09-20T00:34:00Z,source-a,shopping,click_count,1034
tq-large,2026-09-20T00:35:00Z,source-a,shopping,click_count,1035
tq-large,2026-09-20T00:36:00Z,source-a,shopping,click_count,1036
tq-large,2026-09-20T00:37:00Z,source-a,shopping,click_count,1037
tq-large,2026-09-20T00:38:00Z,source-a,shopping,click_count,1038
tq-large,2026-09-20T00:39:00Z,source-a,shopping,click_count,1039
tq-large,2026-09-20T00:40:00Z,source-a,shopping,click_count,1040
tq-large,2026-09-20T00:41:00Z,source-a,shopping,click_count,1041
tq-large,2026-09-20T00:42:00Z,source-a,shopping,click_count,1042
tq-large,2026-09-20T00:43:00Z,source-a,shopping,click_count,1043
tq-large,2026-09-20T00:44:00Z,source-a,shopping,click_count,1044
tq-large,2026-09-20T00:45:00Z,source-a,shopping,click_count,1045
tq-large,2026-09-20T00:46:00Z,source-a,shopping,click_count,1046
tq-large,2026-09-20T00:47:00Z,source-a,shopping,click_count,1047
tq-large,2026-09-20T00:48:00Z,source-a,shopping,click_count,1048
tq-large,2026-09-20T00:49:00Z,source-a,shopping,click_count,1049
tq-large,2026-09-20T00:50:00Z,source-a,shopping,click_count,1050
tq-large,2026-09-20T00:51:00Z,source-a,shopping,click_count,1051
tq-large,2026-09-20T00:52:00Z,source-a,shopping,click_count,1052
tq-large,2026-09-20T00:53:00Z,source-a,shopping,click_count,1053
tq-large,2026-09-20T00:54:00Z,source-a,shopping,click_count,1054
tq-large,2026-09-20T00:55:00Z,source-a,shopping,click_count,1055
tq-large,2026-09-20T00:56:00Z,source-a,shopping,click_count,1056
tq-large,2026-09-20T00:57:00Z,source-a,shopping,click_count,1057
tq-large,2026-09-20T00:58:00Z,source-a,shopping,click_count,1058
tq-large,2026-09-20T00:59:00Z,source-a,shopping,click_count,1059
tq-large,2026-09-20T01:00:00Z,source-a,shopping,click_count,1060
tq-large,2026-09-20T01:01:00Z,source-a,shopping,click_count,1061
tq-large,2026-09-20T01:02:00Z,source-a,shopping,click_count,1062
tq-large,2026-09-20T01:03:00Z,source-a,shopping,click_count,1063
tq-large,2026-09-20T01:04:00Z,source-a,shopping,click_count,1064
tq-large,2026-09-20T01:05:00Z,source-a,shopping,click_count,1065
tq-large,2026-09-20T01:06:00Z,source-a,shopping,click_count,1066
tq-large,2026-09-20T01:07:00Z,source-a,shopping,click_count,1067
tq-large,2026-09-20T01:08:00Z,source-a,shopping,click_count,1068
tq-large,2026-09-20T01:09:00Z,source-a,shopping,click_count,1069
tq-large,2026-09-20T01:10:00Z,source-a,shopping,click_count,1070
tq-large,2026-09-20T01:11:00Z,source-a,shopping,click_count,1071
tq-large,2026-09-20T01:12:00Z,source-a,shopping,click_count,1072
tq-large,2026-09-20T01:13:00Z,source-a,shopping,click_count,1073
tq-large,2026-09-20T01:14:00Z,source-a,shopping,click_count,1074
tq-large,2026-09-20T01:15:00Z,source-a,shopping,click_count,1075
tq-large,2026-09-20T01:16:00Z,source-a,shopping,click_count,1076
tq-large,2026-09-20T01:17:00Z,source-a,shopping,click_count,1077
tq-large,2026-09-20T01:18:00Z,source-a,shopping,click_count,1078
tq-large,2026-09-20T01:19:00Z,source-a,shopping,click_count,1079
tq-large,2026-09-20T01:20:00Z,source-a,shopping,click_count,1080
tq-large,2026-09-20T01:21:00Z,source-a,shopping,click_count,1081
tq-large,2026-09-20T01:22:00Z,source-a,shopping,click_count,1082
tq-large,2026-09-20T01:23:00Z,source-a,shopping,click_count,1083
tq-large,2026-09-20T01:24:00Z,source-a,shopping,click_count,1084
tq-large,2026-09-20T01:25:00Z,source-a,shopping,click_count,1085
tq-large,2026-09-20T01:26:00Z,source-a,shopping,click_count,1086
tq-large,2026-09-20T01:27:00Z,source-a,shopping,click_count,1087
tq-large,2026-09-20T01:28:00Z,source-a,shopping,click_count,1088
tq-large,2026-09-20T01:29:00Z,source-a,shopping,click_count,1089
tq-large,2026-09-20T01:30:00Z,source-a,shopping,click_count,1090
tq-large,2026-09-20T01:31:00Z,source-a,shopping,click_count,1091
tq-large,2026-09-20T01:32:00Z,source-a,shopping,click_count,1092
tq-large,2026-09-20T01:33:00Z,source-a,shopping,click_count,1093
tq-large,2026-09-20T01:34:00Z,source-a,shopping,click_count,1094
tq-large,2026-09-20T01:35:00Z,source-a,shopping,click_count,1095
tq-large,2026-09-20T01:36:00Z,source-a,shopping,click_count,1096
tq-large,2026-09-20T01:37:00Z,source-a,shopping,click_count,1097
tq-large,2026-09-20T01:38:00Z,source-a,shopping,click_count,1098
tq-large,2026-09-20T01:39:00Z,source-a,shopping,click_count,1099
tq-large,2026-09-20T01:40:00Z,source-a,shopping,click_count,1100
tq-large,2026-09-20T01:41:00Z,source-a,shopping,click_count,1101
tq-large,2026-09-20T01:42:00Z,source-a,shopping,click_count,1102
tq-large,2026-09-20T01:43:00Z,source-a,shopping,click_count,1103
tq-large,2026-09-20T01:44:00Z,source-a,shopping,click_count,1104
tq-large,2026-09-20T01:45:00Z,source-a,shopping,click_count,1105
tq-large,2026-09-20T01:46:00Z,source-a,shopping,click_count,1106
tq-large,2026-09-20T01:47:00Z,source-a,shopping,click_count,1107
tq-large,2026-09-20T01:48:00Z,source-a,shopping,click_count,1108
tq-large,2026-09-20T01:49:00Z,source-a,shopping,click_count,1109
tq-large,2026-09-20T01:50:00Z,source-a,shopping,click_count,1110
tq-large,2026-09-20T01:51:00Z,source-a,shopping,click_count,1111
tq-large,2026-09-20T01:52:00Z,source-a,shopping,click_count,1112
tq-large,2026-09-20T01:53:00Z,source-a,shopping,click_count,1113
tq-large,2026-09-20T01:54:00Z,source-a,shopping,click_count,1114
tq-large,2026-09-20T01:55:00Z,source-a,shopping,click_count,1115
tq-large,2026-09-20T01:56:00Z,source-a,shopping,click_count,1116
tq-large,2026-09-20T01:57:00Z,source-a,shopping,click_count,1117
tq-large,2026-09-20T01:58:00Z,source-a,shopping,click_count,1118
tq-large,2026-09-20T01:59:00Z,source-a,shopping,click_count,1119
tq-large,2026-09-20T02:00:00Z,source-a,shopping,click_count,1120
tq-large,2026-09-20T02:01:00Z,source-a,shopping,click_count,1121
tq-large,2026-09-20T02:02:00Z,source-a,shopping,click_count,1122
tq-large,2026-09-20T02:03:00Z,source-a,shopping,click_count,1123
tq-large,2026-09-20T02:04:00Z,source-a,shopping,click_count,1124
tq-large,2026-09-20T02:05:00Z,source-a,shopping,click_count,1125
tq-large,2026-09-20T02:06:00Z,source-a,shopping,click_count,1126
tq-large,2026-09-20T02:07:00Z,source-a,shopping,click_count,1127
tq-large,2026-09-20T02:08:00Z,source-a,shopping,click_count,1128
tq-large,2026-09-20T02:09:00Z,source-a,shopping,click_count,1129
tq-large,2026-09-20T02:10:00Z,source-a,shopping,click_count,1130
tq-large,2026-09-20T02:11:00Z,source-a,shopping,click_count,1131
tq-large,2026-09-20T02:12:00Z,source-a,shopping,click_count,1132
tq-large,2026-09-20T02:13:00Z,source-a,shopping,click_count,1133
